timestamp,direction,signal_quality,attention,meditation,raw,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma
1769364646.6790738,DOWN,0,0,0,0,29,20,29,29,15,36,31,38
1769364651.702105,IDLE,0,0,0,0,14,40,11,30,25,25,26,32
1769364656.7233405,IDLE,0,0,0,0,24,33,28,15,10,24,25,32
1769364661.7427945,CLICK,0,0,0,0,5,28,19,28,25,32,29,37
1769364666.7627444,UP,0,0,0,0,5,28,19,28,25,32,29,37
1769364671.7831783,UP,0,0,0,0,40,34,2,20,30,31,28,27
1769364676.8044813,DOWN,0,0,0,0,25,28,29,16,23,49,20,31
1769364681.8247426,DOWN,0,0,0,0,27,70,16,12,32,25,31,41
1769364686.846708,RIGHT,0,0,0,0,16,13,22,15,34,35,32,37
1769364691.87095,IDLE,8,0,0,0,38,42,41,32,34,31,33,43
1769364696.8936374,LEFT,12,0,0,0,73,19,18,31,39,28,32,34
1769364701.9151576,UP,0,0,0,0,17,22,10,31,31,22,27,38
1769364706.9373806,UP,0,0,0,0,44,33,12,24,52,39,36,37
1769364711.960137,RIGHT,0,0,0,0,6,26,12,16,27,32,32,23
1769364716.9791265,CLICK,0,0,0,0,22,41,44,5,18,29,25,46
1769364722.002118,UP,3,0,0,0,26,29,26,5,43,37,47,36
1769364727.022188,UP,0,0,0,0,34,49,27,23,35,40,31,39
1769364732.0447986,DOWN,0,0,0,0,24,56,19,21,24,20,39,34
1769364737.0664206,UP,0,0,0,0,38,35,30,17,41,28,35,32
1769364742.0864744,UP,0,0,0,0,25,21,14,27,26,28,49,21
1769364747.1089134,RIGHT,0,0,0,0,29,39,32,25,30,16,37,34
1769364752.1325366,RIGHT,6,0,0,0,27,38,41,19,30,26,20,37
1769364757.1536863,UP,6,0,0,0,41,33,9,16,40,22,26,43
1769364762.1748984,CLICK,0,58,34,0,21,20,25,17,22,24,27,30
1769364767.194224,UP,0,0,0,0,18,24,31,40,17,41,22,26
1769364772.216174,UP,0,0,0,0,24,36,19,14,37,23,25,36
1769364777.2361877,CLICK,0,67,33,0,15,45,11,16,46,31,38,27
1769364782.2577925,UP,0,0,0,0,17,38,20,38,22,40,24,28
1769364787.2800045,CLICK,6,0,0,0,21,32,14,38,38,23,38,36
1769364792.3013055,DOWN,0,46,54,0,29,30,10,25,26,25,44,44
1769364797.322598,IDLE,0,0,0,0,7,10,26,19,29,28,29,22
1769364802.3434205,UP,0,0,0,0,14,17,11,24,33,29,42,19
1769364807.36595,LEFT,0,0,0,0,30,28,10,16,31,27,38,33
1769364812.3871076,IDLE,0,56,43,0,24,14,18,25,32,19,28,22
1769364817.4075952,DOWN,0,0,0,0,51,33,8,14,42,30,39,33
1769364822.4284866,CLICK,0,0,0,0,27,40,7,32,32,39,46,35
1769364827.4482374,IDLE,0,0,0,0,20,21,22,18,41,20,26,30
1769364832.47079,RIGHT,0,65,29,0,23,30,15,17,32,27,35,31
1769364837.4933286,UP,0,0,0,0,5,45,16,10,33,22,23,42
1769364842.5164323,CLICK,0,74,31,0,14,40,14,10,46,31,41,35
1769364847.5369484,CLICK,0,0,0,0,16,30,36,15,34,25,36,38
1769364852.560604,UP,0,0,0,0,9,64,34,34,37,39,36,39
1769364857.583044,IDLE,9,0,0,0,33,29,31,10,31,22,35,31
1769364862.6072948,IDLE,0,55,39,0,25,36,17,30,54,41,34,27
1769364867.6281917,DOWN,0,49,39,0,28,38,30,41,33,43,18,22
1769364872.651224,LEFT,0,59,46,0,43,66,43,20,20,37,25,31
1769364877.6761122,CLICK,0,39,54,0,18,64,50,43,40,25,26,35
1769364882.6975374,RIGHT,0,52,40,0,35,32,41,21,28,25,33,31
1769364887.7191355,LEFT,0,59,41,0,11,57,31,19,37,40,36,31
1769364892.7406118,RIGHT,0,43,38,0,28,37,40,32,24,33,36,38
1769364897.7617018,CLICK,0,37,55,0,17,43,29,32,39,28,25,37
1769364902.7887592,DOWN,0,57,43,0,34,63,27,16,37,24,24,34
1769364907.8084435,DOWN,0,54,39,0,19,45,26,17,38,14,23,43
1769364912.8308573,CLICK,0,54,43,0,9,39,27,16,32,27,28,24
1769364917.8505027,LEFT,0,75,33,0,55,56,11,18,44,36,43,39
