timestamp,direction,signal_quality,attention,meditation,raw,delta,theta,low_alpha,high_alpha,low_beta,high_beta,low_gamma,mid_gamma,norm_att,norm_med,norm_alpha,norm_beta
1769537873.2607632,LEFT,0,0,0,0,0,0,73,37,0,0,0,0,0,0,110,0
1769537873.4617343,LEFT,0,0,0,0,0,0,73,37,0,0,0,0,0,0,110,0
1769537873.6624873,LEFT,0,0,0,0,0,0,73,37,0,0,0,0,0,0,110,0
1769537873.8633704,LEFT,0,0,0,0,0,0,73,37,0,0,0,0,0,0,110,0
1769537874.0642319,LEFT,0,0,0,0,0,0,51,8,0,0,0,0,0,0,59,0
1769537874.265246,LEFT,0,0,0,0,0,0,51,8,0,0,0,0,0,0,59,0
1769537874.4665363,LEFT,0,0,0,0,0,0,51,8,0,0,0,0,0,0,59,0
1769537874.6678169,LEFT,0,0,0,0,0,0,51,8,0,0,0,0,0,0,59,0
1769537874.868717,LEFT,0,0,0,0,0,0,51,8,0,0,0,0,0,0,59,0
1769537875.069802,LEFT,0,0,0,0,0,0,44,11,0,0,0,0,0,0,55,0
1769537875.2704785,LEFT,0,0,0,0,0,0,44,11,0,0,0,0,0,0,55,0
1769537875.471527,LEFT,0,0,0,0,0,0,44,11,0,0,0,0,0,0,55,0
1769537875.6729918,LEFT,0,0,0,0,0,0,44,11,0,0,0,0,0,0,55,0
1769537875.8744476,LEFT,0,0,0,0,0,0,44,11,0,0,0,0,0,0,55,0
1769537876.0754316,LEFT,0,0,0,0,0,0,28,37,0,0,0,0,0,0,65,0
1769537876.2768276,LEFT,0,0,0,0,0,0,28,37,0,0,0,0,0,0,65,0
1769537876.477979,LEFT,0,0,0,0,0,0,28,37,0,0,0,0,0,0,65,0
1769537876.6787977,LEFT,0,0,0,0,0,0,28,37,0,0,0,0,0,0,65,0
1769537876.8799949,LEFT,0,0,0,0,0,0,28,37,0,0,0,0,0,0,65,0
1769537877.0813842,LEFT,0,0,0,0,0,0,28,37,0,0,0,0,0,0,65,0
1769537877.2824867,LEFT,0,0,0,0,0,0,39,21,0,0,0,0,0,0,60,0
